material,energy,delta,beta
Au,166,1.1557640147658437e-07,1.6318456744404623e-09
Si,166,1.7477585121828907e-08,1.9398102913204367e-11
C,167,1.486484677231031e-08,1.5087932614857096e-11
O,167,1.0628849728797663e-11,1.0701273420541885e-14
Au,167,1.1419629603808301e-07,1.5982659660270304e-09
Si,167,1.7268871089775754e-08,1.92306358631331e-11
C,168,1.4688408926080507e-08,1.496811906838093e-11
O,168,1.0502688963497183e-11,1.0613263880376101e-14
Au,168,1.1284063327184174e-07,1.565571581898762e-09
Si,168,1.7063873708148e-08,1.9065601496368214e-11
C,169,1.451509388967557e-08,1.4849959589002354e-11
O,169,1.03787611941888e-11,1.052649404520374e-14
Au,169,1.1150884329440663e-07,1.5337341173983557e-09
Si,169,1.686250525063836e-08,1.8902950308172797e-11
C,170,1.4344828400303518e-08,1.4733421755794255e-11
O,170,1.0257014031910098e-11,1.044093927099123e-14
Au,170,1.102003728122857e-07,1.502726239748638e-09
Si,170,1.666468056384846e-08,1.8742634086127125e-11
C,171,1.417754127396917e-08,1.46179439865744e-11
O,171,1.0137396517608668e-11,1.0356626756557709e-14
Au,171,1.0891354620698248e-07,1.472628963360226e-09
Si,171,1.647032202341316e-08,1.8585927450678657e-11
C,172,1.4013163445081496e-08,1.4503968032613644e-11
O,172,1.001985927053581e-11,1.0273487409805112e-14
Au,172,1.0765068928398298e-07,1.4433184948390548e-09
Si,172,1.627933830150846e-08,1.8431604683091443e-11
C,173,1.3851627899030982e-08,1.4391533782463839e-11
O,173,9.904354422184581e-12,1.0191491664211424e-14
Au,173,1.0640957591606767e-07,1.4147562831533988e-09
Si,173,1.6091657453713317e-08,1.8279446818373715e-11
C,174,1.3692869483210328e-08,1.4280611650290483e-11
O,174,9.790835383493957e-12,1.0110617314419517e-14
Au,174,1.0518971171046391e-07,1.3869190653464351e-09
Si,174,1.5907203757169098e-08,1.81294112341914e-11
C,175,1.3536824901196592e-08,1.417117278367558e-11
O,175,9.67925689273499e-12,1.0030842710521804e-14
Au,175,1.0399061629071414e-07,1.359784429588591e-09
Si,175,1.5725903646555856e-08,1.798145638581912e-11
C,176,1.3383432649652296e-08,1.4063189041376978e-11
O,176,9.569574970389206e-12,9.952146741092449e-15
Au,176,1.028118228217671e-07,1.3333307794107653e-09
Si,176,1.5547685640744416e-08,1.7835541772934778e-11
C,177,1.3232632957714862e-08,1.3956632971883631e-11
O,177,9.461746875806415e-12,9.874508816830695e-15
